Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
J.Timber,DEF,Arsenal,5.7,12.5,11.3,2,0,2,4,0,4,0,12,121,50.0,32.0,18.0,18.0,9.0,9.0,1514.3939393939393,1289.6774193548388,19.49474737368684,0.3151575787893947,0.0,1999,433,7,1.32,1.55,4.6,5.156000000000001,12.016,90.0,5,21.228070175438596,0.05942971485742871,1.2771929824561403,0.22210100024886814,0.8490962023907536,1.0,1.7771929824561403
João Pedro,FWD,Chelsea,7.8,67.3,10.3,5,4,9,1,6,7,0,9,122,52.0,27.0,25.0,32.0,17.0,15.0,1076.047904191617,587.2549019607843,24.991652754590984,1.1519198664440735,0.0,1797,499,23,1.67,3.06,7.8,8.534,23.384,58.2,3,15.64102564102564,0.08363939899833056,1.1282051282051284,0.3125775417618607,1.0,0.31139752013688515,1.6188650219979657
Enzo,MID,Chelsea,6.7,13.5,8.7,4,4,8,2,1,3,0,8,116,52.0,27.0,25.0,32.0,17.0,15.0,874.0425531914893,541.9525065963061,21.032132424537487,0.6134371957156767,0.0,2054,480,14,2.35,3.79,5.0,12.618,27.339999999999996,83.6,5,17.313432835820894,0.10296981499513146,0.9671641791044776,0.3848192602088665,1.0,0.31139752013688515,1.4903328461984677
Zubimendi,MID,Arsenal,5.4,3.7,6.7,4,1,5,0,1,1,0,13,101,50.0,32.0,18.0,18.0,9.0,9.0,7189.6551724137935,865.1452282157676,19.640287769784173,0.3884892086330935,0.0,2085,455,9,0.29,2.41,5.8,3.678,15.175999999999998,81.0,5,18.703703703703702,0.01251798561151079,1.1407407407407406,0.046782272674322854,0.8490962023907536,1.0,1.4589764342809495
Gabriel,DEF,Arsenal,6.1,21.9,5.7,1,2,3,0,2,2,0,12,135,50.0,32.0,18.0,18.0,9.0,9.0,5603.44827586207,674.2738589211618,24.86769230769231,0.9969230769230768,0.0,1625,449,18,0.29,2.41,5.8,2.476,9.745999999999999,90.0,5,22.13114754098361,0.01606153846153846,0.9442622950819672,0.060025254477515784,0.8490962023907536,1.0,1.4442622950819672
Senesi,DEF,Bournemouth,4.7,10.4,8.7,0,0,0,2,2,4,0,6,104,41.0,20.0,21.0,44.0,14.0,30.0,8146.153846153846,608.6206896551724,14.277620396600566,0.254957507082153,0.0,2118,336,6,0.26,3.48,4.4,4.524,31.448,90.0,5,22.127659574468083,0.01104815864022663,1.302127659574468,0.04128922864242522,0.6287574272678287,0.2347347765275044,1.4194950478382202
Raya,GKP,Arsenal,5.5,23.3,4.7,0,0,0,0,0,0,35,13,106,50.0,32.0,18.0,18.0,9.0,9.0,112500.0,933.609958506224,16.88,0.2,1.4,2250,422,5,0.02,2.41,5.2,0.046,16.226,90.0,5,19.272727272727273,0.0008,0.9090909090909091,0.0029897636329797137,0.8490962023907536,1.0,1.4090909090909092
Mukiele,DEF,Sunderland,4.0,0.7,4.7,1,0,1,4,1,5,0,7,112,27.0,21.0,6.0,29.0,9.0,20.0,17183.333333333336,694.2760942760942,16.498545101842872,0.3491755577109602,0.0,2062,378,8,0.12,2.97,4.6,2.3899999999999997,31.284,88.4,5,28.0,0.0052376333656644035,1.16,0.019574107199430712,0.1376573863474322,0.43660430186611116,1.3783021509330555
Chalobah,DEF,Chelsea,5.1,8.7,8.0,1,2,3,1,0,1,0,9,121,52.0,27.0,25.0,32.0,17.0,15.0,1926.605504587156,617.6470588235294,18.942857142857143,0.3,0.0,2100,442,7,1.09,3.4,4.4,1.83,28.008,90.0,5,23.725490196078432,0.04671428571428572,1.1450980392156864,0.17458084071149402,1.0,0.31139752013688515,1.300796799284129
B.Fernandes,MID,Man Utd,9.0,18.4,4.7,4,2,6,4,8,12,0,3,141,46.0,25.0,21.0,36.0,15.0,21.0,671.985815602837,279.08689248895433,29.018469656992085,1.187335092348285,0.0,1895,611,25,2.82,6.79,8.4,13.184000000000001,24.728,84.0,5,15.666666666666666,0.13393139841688653,0.7688888888888888,0.5005290303761551,0.8404211667436843,0.27811813520457274,1.2882743609184482
